Unnamed: 0,Date,User,Tweet
0,2019-05-18 06:59:40+00:00,RahulGandhi,greetings amp best wishes on the auspicious occasion of buddhapurnima
1,2019-05-17 12:39:41+00:00,RahulGandhi,congratulations modi ji excellent press conference showing up is half the battle next time mr shah may even allow you to answer a couple of questions well done 
2,2019-05-14 10:11:18+00:00,RahulGandhi,"   im pushing for a new language in politics 

lets fight each other brutally  on issues lets fight hard on ideology 

but

lets not use hatred and violence against each other its bad for   "
3,2019-05-09 16:01:12+00:00,RahulGandhi,"dear mr modi

your recent statements interviews amp videos are giving india the distinct feeling that youre cracking under presssure 

you are however certainly right to be nervous about the results"
4,2019-05-05 05:45:31+00:00,RahulGandhi,"modi ji

the battle is over your karma awaits you projecting your inner beliefs about yourself onto my father wont protect you 

all my love and a huge hug 

rahul"
5,2019-05-02 17:28:07+00:00,RahulGandhi,"as cyclonefani approaches i urge congress workers in odisha andhra amp west bengal to warn people in their surrounding areas of the approaching danger amp to help those in need 

stay safe this danger will soon pass you are in my thoughts amp prayers tonight"
6,2019-05-01 04:42:14+00:00,RahulGandhi,my best wishes and greetings to the people of gujarat on gujaratday
7,2019-05-01 04:40:48+00:00,RahulGandhi,my best wishes and greetings to the people of maharashtra on maharashtraday
8,2019-04-21 09:12:56+00:00,RahulGandhi,"im saddened amp disturbed by reports of multiple bomb blasts in colombo in which over  people have died amp more than  injured 

i strongly condemn this diabolical act of terrorism 

my condolences to the families of the victims i pray the injured make a speedy recovery"
9,2019-04-19 13:13:10+00:00,RahulGandhi,hemant karkare gave his life protecting india he must be treated with respect
10,2019-04-15 12:20:13+00:00,RahulGandhi,"an alliance between the congress amp aap in delhi would mean the rout of the bjp the congress is willing to give up  delhi seats to the aap to ensure this 

but mr kejriwal has done yet another u turn 

our doors are still open but the clock is running out 

abaapkibaari"
11,2019-04-14 04:14:35+00:00,RahulGandhi,"on dr babasaheb ambedkars jayanti let us rededicate ourselves to the  universal values of justice liberty equality amp fraternity enshrined in our constitution 

those who pay him tributes on this day while insidiously weakening these values do his memory disservice"
12,2019-04-09 18:47:21+00:00,RahulGandhi,im sorry to hear about the passing of shri k m mani a highly respected amp beloved leader of the kerala congress who was elected mla a record  times my condolences to his family friends amp supporters in this time of grief may his soul rest in peace
13,2019-04-09 15:09:09+00:00,RahulGandhi,"nyay is such a powerful idea 
absolutely amazing resonance in the field even pm past master cant stop talking about it"
14,2019-04-09 08:09:04+00:00,RahulGandhi,"dear pm

scared of debating me on corruption i can make it easier for you 

lets go open book so you can prepare

 rafaleanil ambani 
 nirav modi 
 amit shahdemonetisation 

scareddebate"
15,2019-04-09 03:14:44+00:00,RahulGandhi,"the congress manifesto was created through discussion the voice of over a million indian people it is wise and powerful 

the bjp manifesto was created in a closed room the voice of an isolated man it is short sighted and arrogant"
16,2019-04-06 05:47:13+00:00,RahulGandhi,"a very happy gudi padwa to all of you 

gudipadwa"
17,2019-04-06 02:58:15+00:00,RahulGandhi,"greetings amp best wishes to all indians on the auspicious occasion of ugadi 

 happyugadi"
18,2019-04-06 02:35:42+00:00,RahulGandhi,"ms sreedhanya suresh from wayanad is the first tribal girl from kerala to be selected for the civil service  

sreedhanyas hard work amp dedication have helped make her dream come true 

i congratulate sreedhanya and her family and wish her great successs in her chosen career"
19,2019-04-05 09:55:12+00:00,RahulGandhi,"hatred is cowardice 

i dont care if the entire world is full of hatred i am not a coward 

i will not hide behind hate and anger 

i love all living beings including those temporarily blinded by hatred"
20,2019-04-03 12:34:56+00:00,RahulGandhi,"our exservicemen are indias pride amp must be given the respect they deserve 

we will allow qualified exservicemen lateral entry into the civil services 

the central armed police forces will be opened up to exservicemen under the age of "
21,2019-04-01 13:00:12+00:00,RahulGandhi,"real smart cities are built by good leaders 

to improve quality of life in our cities we will move to directly elected mayors with  yr terms amp elected councils 

administration will be run by multidisciplinary teams of specialists amp experts accountable to the mayor amp council"
22,2019-03-31 16:34:51+00:00,RahulGandhi,"today there are  lakh job vacancies in government 

we will have these vacancies filled by st march  

devolution of funds from the center to each state govt for healthcare education etc will be linked to these vacant positions being filled"
23,2019-03-30 13:14:36+00:00,RahulGandhi,"india needs to 

 repair amp restore our water bodies 

  regenerate amp afforest wasteland amp degraded land 

we will employ lakhs of rural youth in our gram sabhas to improve the environment"
24,2019-03-29 15:39:42+00:00,RahulGandhi,"if voted to power we will scrap the niti aayog it has served no purpose other than making marketing presentations for the pm amp fudging data 

we will replace it with a lean planning commission whose members will be renowned economists amp experts with less than  staff"
25,2019-03-28 13:47:59+00:00,RahulGandhi,"youngsters 

want to start a new business want to create jobs for india 
heres our plan for you

 zero permissions for the first  years of any new business 

 goodbye angel tax 

 solid incentives amp tax credits based on how many jobs you create

  easy bank credit"
26,2019-03-27 08:19:42+00:00,RahulGandhi,"well done drdo extremely proud of your work 

i would also like to wish the pm a very happy world theatre day"
27,2019-03-26 09:49:44+00:00,RahulGandhi,"they did demonetisation and gabbar singh tax 

we will give nyay and a real gst 

nyay surgical strike on poverty   rs a year to indias poorest   

"
28,2019-03-25 09:54:31+00:00,RahulGandhi,"today is a historic day

it is on this day that the congress party launched its final assault on poverty

 crore of the poorest families in india will receive rs  per year

nyayforindia is our dream amp our pledge 

the time for change has come"
29,2019-03-23 15:41:01+00:00,RahulGandhi,every patriotic indian is  disgusted by the video of a family in gurugram being mercilessly beaten by hooligans the rss bjp channelises bigotry amp hatred for political power this incident serves as a warning of the dangerous consequences amp the dark side of that strategy
30,2019-03-21 07:43:26+00:00,RahulGandhi,"my best wishes on the auspicious occasion of navroz

peace amp happiness always 

navrozmubarak"
31,2019-03-17 14:48:04+00:00,RahulGandhi,"i am deeply saddened by the news of the passing of goa cm shri manohar parrikar ji who bravely battled a debilitating illness for over a year 

respected and admired across party lines he was one of goas favourite sons 

my condolences to his family in this time of grief"
32,2019-03-17 14:11:25+00:00,RahulGandhi,"you can keep trying mr modi  but the truth cannot be extinguished 

every indian is saying it 

chowkidarchorhai 

ps do force sushma ji to add chowkidar to her handle its looking very bad"
33,2019-03-15 15:05:44+00:00,RahulGandhi,the newzealandshooting is a despicable act of terrorism that must be condemned unequivocally the world stands in need of compassion amp understanding not bigotry amp hate filled extremism my condolences to the families of the victims my prayers go out to those who were injured
34,2019-03-08 05:45:02+00:00,RahulGandhi,while saluting the undaunted fighting spirit of women this internationalwomensday i would also like us to recommit ourselves to breaking the barriers that continue to hinder their path to freedom amp equality in doing so a better brighter braver world awaits us
35,2019-03-06 13:47:59+00:00,RahulGandhi,"there is now enough evidence to prosecute the pm in the rafalescam 

the trail of corruption begins amp ends with him 

that crucial rafale files incriminating him are now reported stolen by the govt is destruction of evidence amp an obvious coverup 

firagainstcorruptmodi"
36,2019-03-01 16:03:50+00:00,RahulGandhi, wing cdr abhinandan your dignity poise and bravery made us all proud welcome back and much love 
37,2019-02-27 11:55:21+00:00,RahulGandhi, im sorry to hear that one of our brave iaf pilots is missing i hope he will return home soon unharmed we stand by our armed forces in these difficult times 
38,2019-02-26 04:05:27+00:00,RahulGandhi, i salute the pilots of the iaf 
39,2019-02-24 09:47:54+00:00,RahulGandhi,"the apathy amp incompetence of the assam govt has resulted in the tragic deaths of over  people with scores of victims in hospital poisoned by toxic alcohol 

my condolences to the families of those who have died i also pray that those in hospital make a speedy recovery"
40,2019-02-23 17:21:55+00:00,RahulGandhi,im sorry to hear about the death of an innocent youth in police firing in itanagar arunachal pradesh in which many others have also been injured my condolences to the family of the young man i pray that the injured make a speedy recovery amp that peace returns to arunachal
41,2019-02-18 03:19:12+00:00,RahulGandhi,the brutal murder of two members of our youth congress family in kasargod kerala is shocking the congress party stands in solidarity with the families of these two young men amp i send them my deepest condolences we will not rest till the murderers are brought to justice
42,2019-02-14 12:39:53+00:00,RahulGandhi,im deeply disturbed by the cowardly attack on a crpf convoy in jampk in which many of our brave crpf men have been martyred and a large number wounded some critically my condolences to the families of our martyrs i pray for the speedy recovery of the injured
43,2019-02-12 05:11:45+00:00,RahulGandhi,"dear students amp the youth of india 

everyday there are new revelations about rafale that make it clear that the pm helped his friend anil ambani steal  cr of your money

watch my press conference live at  am today on the rafalescam"
44,2019-02-08 04:52:11+00:00,RahulGandhi,"brothers amp sisters in the armed forces 

you are our defenders you sacrifice your lives for india you are our pride 

please watch my live press conference today at am

rafalescam"
45,2019-02-03 17:54:28+00:00,RahulGandhi,"i spoke with mamata di tonight and told her we stand shoulder to shoulder with her 

the happenings in bengal are a part of the unrelenting attack on indias institutions by mr modi amp the bjp 

the entire opposition will stand together amp defeat these fascist forces"
46,2019-02-01 09:28:45+00:00,RahulGandhi,"dear nomo

 years of your incompetence and arrogance has destroyed the lives of our farmers 

giving them rs  a day is an insult to everything they stand and work for 

aakhrijumlabudget"
47,2019-01-29 06:01:43+00:00,RahulGandhi,"im sorry to hear about the passing of former parliamentarian amp union minister george fernandes ji 

my condolences to his family and friends in this time of grief"
48,2019-01-28 11:57:03+00:00,RahulGandhi,"we cannot build a new india while millions of our brothers amp sisters suffer the scourge of poverty 

if voted to power in  the congress is committed to a minimum income guarantee for every poor person to help eradicate poverty amp hunger 

this is our vision amp our promise"
49,2019-01-25 16:21:09+00:00,RahulGandhi,im happy that shri bhupen hazarika and nanaji deshmukh have been honoured posthumously with the bharat ratna
50,2019-01-25 16:16:49+00:00,RahulGandhi,"congratulations to pranab da on being awarded the bharat ratna 

the congress party takes great pride in the fact that the immense contribution to public service amp nation building of one of our own  has been recognised amp honoured"
51,2019-01-25 08:32:27+00:00,RahulGandhi,i am disturbed by the growing violence amp unrest in the n east where religion amp ethnicity are being used as weapons by the bjp to polarise the region for political gain this type of politics that pitches brother against brother amp fans hatred is evil amp must be stopped
52,2019-01-23 12:04:54+00:00,RahulGandhi,up is central to building a new hope filled amp compassionate india the new up aicc team lead by priyanka amp jyotiraditya will herald the dawn of a new kind of politics in the state we will offer the youth in up a dynamic new platform to transform the state
53,2019-01-21 09:08:53+00:00,RahulGandhi,i am sorry to hear about the passing of shivakumar swami ji pontiff of the siddaganga mutt swami ji was respected amp revered by millions of indians from all religions amp communities his passing leaves behind a deep spiritual void my condolences to all his followers
54,2019-01-16 12:43:57+00:00,RahulGandhi,im upset to hear arun jaitley ji is not well we fight him on a daily basis for his ideas however i and the congress party send him our love and best wishes for a speedy recovery we are with you and your family  during this difficult period mr jaitley
55,2019-01-15 04:53:30+00:00,RahulGandhi,"i wish you all a very happy pongal

 happypongal"
56,2019-01-14 16:56:48+00:00,RahulGandhi,my condolences to the family of veteran congress leader shri shivajirao deshmukh ji who passed away earlier today a former minister amp chairman of the maharashtra legislative council in deshmukh jis death the congress family has lost a loyal amp highly respected member
57,2019-01-10 17:15:44+00:00,RahulGandhi,"fear is now rampaging through mr modis mind he cant sleep he stole cr from the iaf and gave it to anil ambani sacking the cbi chief alokverma twice in a row clearly shows that he is now a prisoner of his own lies

satyamev jayate"
58,2019-01-10 06:20:45+00:00,RahulGandhi," why is the pm in such a tearing hurry to sack the cbi chief 

 why will he not allow the cbi chief to present his case in front of the selection committee  

answer rafale"
59,2019-01-09 15:29:53+00:00,RahulGandhi,"with all due respect modi ji in our culture respect for women begins at home  

stop shaking be a man and answer my question did the air force and defence ministry object when you bypassed the original rafale deal

yes or no 

rafalescam"
60,2019-01-08 10:02:46+00:00,RahulGandhi,"the truth of rafale will destroy mr modi its only a question of time before full evidence of his role in the theft of  cr becomes public 

congratulations to the sc for upholding the law

alokverma"
61,2019-01-03 06:41:57+00:00,RahulGandhi,"so it seems our pm has fled parliament amp his own open book rafale exam amp is instead lecturing students at lovely univ in punjab today 

i request the students there to respectfully ask him to please answer the  questions posed to him by me yesterday  

rafalescam"
62,2019-01-02 15:21:59+00:00,RahulGandhi,"tomorrow the pm faces an open book rafaledeal exam in parliament 

here are the exam questions in advance

q why  aircraft instead of the  the iaf needed

q why  cr instead of  cr per aircraft 

q why aa instead of hal

will he show up or send a proxy"
63,2019-01-01 02:55:42+00:00,RahulGandhi,i wish you all a happy new year
